class,feature,coefficient,direction,feature_type
3,nodules obscured,-1.0048987281506092,negative,bigram
3,cm cystic,-0.983792913023458,negative,bigram
3,indistinct,-0.9817145636240073,negative,unigram
3,reports,-0.9799749270820021,negative,unigram
4,amorphous,2.170848493573748,positive,unigram
4,amorphous calcifications,2.07252063782882,positive,bigram
4,enlargement in,1.962167744547683,positive,bigram
4,pleomorphic calcifications,1.8043533494250141,positive,bigram
4,breasts grouped,1.7256672555429382,positive,bigram
4,nodules spiculated,1.6626187292876315,positive,bigram
4,microlobulated,1.6534847061942928,positive,unigram
4,indistinct,1.5727128393359577,positive,unigram
4,calcifications located,1.4930942452341922,positive,bigram
4,developing,1.4328566113395922,positive,unigram
4,calcifications amorphous,1.4239095086420497,positive,bigram
4,distribution located,1.3929935341603938,positive,bigram
4,linear calcifications,1.385668538764993,positive,bigram
4,heterogeneous coarse,1.3629048938034063,positive,bigram
4,with indistinct,1.2815320267932695,positive,bigram
4,cm no,1.2661655998574382,positive,bigram
4,pleomorphic,1.2643314753196886,positive,unigram
4,analysisprevious,1.2389988174971818,positive,unigram
4,comparative analysisprevious,1.2389988174971818,positive,bigram
4,analysisprevious mammograms,1.2389988174971818,positive,bigram
4,circumscribed,-1.214894230413618,negative,unigram
4,were,-0.9453472612408353,negative,unigram
4,no,-0.9279421162752561,negative,unigram
4,were observed,-0.9178370896005968,negative,bigram
4,calcifications no,-0.8969788811177709,negative,bigram
4,observed,-0.8808879011436674,negative,unigram
4,linear and,-0.8712910286290723,negative,bigram
4,and pleomorphic,-0.8701765510093753,negative,bigram
4,punctate,-0.8442526766851676,negative,unigram
4,parallel,-0.8404764651525298,negative,unigram
4,to circumscribed,-0.821942683169305,negative,bigram
4,with coarse,-0.8131254450983034,negative,bigram
4,oval nodule,-0.8109000793014131,negative,bigram
4,simple,-0.797066488543776,negative,unigram
4,invasive,-0.7908739113129173,negative,unigram
4,calcifications axillary,-0.7833119448600526,negative,bigram
4,observed sparse,-0.7797398948871211,negative,bigram
4,cm intramammary,-0.7775960199703384,negative,bigram
4,cyst,-0.7430383770671755,negative,unigram
4,regional,-0.734293933433249,negative,unigram
5,spiculated,2.0271281990177554,positive,unigram
5,densities spiculated,1.8317003965632668,positive,bigram
5,with spiculated,1.3529117913136648,positive,bigram
5,retraction,1.2642549709376587,positive,unigram
5,spiculated margins,1.2576155506148456,positive,bigram
5,and pleomorphic,1.1529586225711503,positive,bigram
5,spike,1.0325065863467762,positive,unigram
5,spiculated nodule,1.0197351159479977,positive,bigram
5,linear and,0.9979344631802632,positive,bigram
5,cm sparse,0.8330861846559858,positive,bigram
5,non,0.8212341215277561,positive,unigram
5,papillary retraction,0.789870165004524,positive,bigram
5,non circumscribed,0.776080608683678,positive,bigram
5,determining papillary,0.7028758635792607,positive,bigram
5,retraction the,0.7028758635792607,positive,bigram
5,between determining,0.7028758635792607,positive,bigram
5,papillary,0.6925127089826562,positive,unigram
5,mass,0.6869320818788666,positive,unigram
5,associated with,0.66756987087315,positive,bigram
5,and,0.6609676409371025,positive,unigram
5,nodule located,-0.6279754510912647,negative,bigram
5,right,-0.5899839991951469,negative,unigram
5,enlargement comparative,-0.5599694423792617,negative,bigram
5,cm no,-0.544548570889761,negative,bigram
5,on,-0.4851073264414371,negative,unigram
5,the right,-0.4824830763514793,negative,bigram
5,is associated,-0.4781116940660089,negative,bigram
